n,m,xi,b,b_direct,b_discrepancy,source_peak,source_bound,source_ratio,y_over_m,H_ratio,lower_clock_ratio,upper_clock_ratio,moment_error
64,32,0.00027634689994396273,0.7608324420362435,0.7608324420362402,3.219646771412954e-15,635.2836464176879,18450.40474827071,0.034431962609233854,0.007728295893504019,1.4625319580503415,49.498032882293934,0.013674848938234976,-1.8318679906315083e-15
64,32,0.00031280172690898334,0.7375877959745605,0.7375877959745537,6.772360450213455e-15,606.5574358016229,15693.812173053437,0.03864946445855221,0.008611062194721476,1.4573370020149177,48.1538779041936,0.015057906026787282,-2.0539125955565396e-15
64,32,0.00035406556171638964,0.7130754708921737,0.71307547089217,3.6637359812630166e-15,576.1581509951683,13361.25725260926,0.04312155211910563,0.009579362728828759,1.451645458511833,46.72420729885963,0.0165375773164218,-2.1094237467877974e-15
64,32,0.0004007727937832634,0.6874466476677029,0.6874466476676976,5.329070518200751e-15,544.216827667043,11385.890507178252,0.04779747594831873,0.010638416892089119,1.445428810772853,45.21326606020641,0.01811298776230566,-2.609024107869118e-15
64,32,0.0004536414992133564,0.660904226123679,0.6609042261236786,4.440892098500626e-16,510.9120835540523,9711.609770639481,0.05260838271103743,0.011793244724548381,1.438660186948513,43.627302347669726,0.01978218082546391,-2.3314683517128287e-15
64,32,0.0005134844804855499,0.6337044006183085,0.6337044006183056,2.886579864025407e-15,476.47062158303993,8291.30620286419,0.05746629179108661,0.013048599228408165,1.4313148246892362,41.974617514974945,0.02154225305563781,-2.55351295663786e-15
64,32,0.0005812217624638172,0.6061551132914299,0.6061551132914298,1.1102230246251565e-16,441.1652020798301,7085.399773674561,0.062263981733106544,0.014408912417987526,1.4233704571909935,40.265514305021135,0.02338959864712742,-2.4424906541753444e-15
64,32,0.0006578947368421052,0.5786105294709212,0.5786105294709185,2.6645352591003757e-15,405.30973560184043,6060.616055450024,0.06687599608580462,0.01587826190080871,1.4148075795733948,38.51212763811705,0.02532026800665157,-2.3314683517128287e-15
128,4,6.103515625e-05,0.9997358120185117,0.9997358120184288,8.293365993949919e-14,0.0666039548417823,56524.72543814694,1.1783154066739293e-06,6.402848960450051e-05,1.1581815145651504,2.0818191947227325,0.00012705640492662387,4.0939474033052647e-16
128,4,8.215842490557628e-05,0.9996443942603196,0.9996443942602227,9.692247004977617e-14,0.06659445596173239,36395.155502499336,1.8297615449715333e-06,8.618379147724825e-05,1.1580796659274988,2.081767977700883,0.0001710207272731924,5.447031714567174e-16
128,4,0.0001105921111321023,0.9995213491717961,0.9995213491717863,9.880984919163893e-15,0.06658167257720772,23453.948354225373,2.8388257521345068e-06,0.00011600350642897233,1.1579425906371217,2.0816990431969065,0.00023019403428460169,7.4593109467002705e-16
128,4,0.0001488662308060524,0.999355739864761,0.9993557398647042,5.684341886080802e-14,0.06656447032984907,15128.92515161186,4.3998149017716025e-06,0.0001561375861541817,1.1577581147680607,2.081606265884195,0.00030983475489230794,1.0130785099704553e-15
128,4,0.00020038639689163166,0.9991328515228978,0.9991328515227877,1.1002310174035301e-13,0.0665413241879008,9769.643728971412,6.811028736961583e-06,0.00021015099710421618,1.1575098653457105,2.081481405756217,0.0004170169945634337,1.3114509478384662e-15
128,4,0.00026973684926251233,0.9988328897193754,0.9988328897192744,1.0103029524088925e-13,0.06651018478729757,6316.747206764153,1.0529182601462439e-05,0.00028283869733066965,1.15717582859191,2.0813133804826194,0.0005612555222830785,1.7763568394002505e-15
128,4,0.0003630883581853837,0.998429232937805,0.9984292329376458,1.5909495942878493e-13,0.06646829976656358,4090.015996759976,1.625135447372782e-05,0.0003806482488876311,1.1567264184839394,2.0810872893509016,0.0007553443104053598,2.4702462297909733e-15
